CFE-0111-CSSAN-0022-2023,0100 - CFE Distribución,0111 - Distribución Noroeste,Sonora,"Servicio de Mantenimiento por Desgaste de Tapicería, Hojalatería, Pintura y Accesorios de Vehículos propios 2023","Servicio de Mantenimiento por Desgaste de Tapicería, Hojalatería, Pintura y Accesorios de Vehículos propios 2023",Concurso simplificado,Servicio por Abastecimiento,Vigente,No,22/05/2023 20:09 hrs,nan,nan,Pesos mexicanos,nan,nan
CFE-0930-CSSAN-0015-2023,0900 - CFE Generación VI,0930 - Subgerencia de Producción Hidroeléctrica Grijalva,Chiapas,600517996 23SGH9501N SERVICIO DE RECARGA DE EXTINTORES DE TIPO PQS Y CO2 DE LA C.H. BELISARIO DOMÍNGUEZ,600517996 23SGH9501N SERVICIO DE RECARGA DE EXTINTORES DE TIPO PQS Y CO2 DE LA C.H. BELISARIO DOMÍNGUEZ,Concurso simplificado,Servicio por Abastecimiento,Vigente,No,22/05/2023 19:28 hrs,nan,nan,Pesos mexicanos,nan,nan
CFE-0700-CSAAN-0092-2023,0700 - CFE Generación IV,0700 - CFE Generación IV,Nuevo León,(GC44) Adquisición de Materiales para control de derrames de hidrocarburos y manejo de residuos peligrosos con destino para la Central Ciclo Combinado Huinalá,(GC44) Adquisición de Materiales para control de derrames de hidrocarburos y manejo de residuos peligrosos con destino para la Central Ciclo Combinado Huinalá,Concurso simplificado,Adquisición por Abastecimientos,Vigente,No,22/05/2023 20:10 hrs,nan,nan,Pesos mexicanos,nan,nan
CFE-0305-CSSAN-0005-2023,0300 - CFE Suministrador de Servicios Básicos,0305 - Suministrador de Servicios Básicos Golfo Centro,Tamaulipas,SERVICIO DE CORTE AVISO-RECIBO PARA LA ZONA COMERCIAL VICTORIA,SERVICIO DE CORTE AVISO-RECIBO PARA LA ZONA COMERCIAL VICTORIA DE LA EPS SUMINISTRADOR DE SERVICIOS BÁSICOS DIVISIÓN COMERCIAL GOLFO CENTRO,Concurso simplificado,Servicio por Abastecimiento,Vigente,No,22/05/2023 19:58 hrs,nan,nan,Pesos mexicanos,nan,nan
CFE-0103-CSSAN-0021-2023,0100 - CFE Distribución,0103 - Distribución Peninsular,Yucatán,SERIVICIO DE MANTENIMIENTO MAYOR A TRANSFORMADOR DE POTENCIA ZONA CAMPECHE,SERIVICIO DE MANTENIMIENTO MAYOR A TRANSFORMADOR DE POTENCIA ZONA CAMPECHE,Concurso simplificado,Servicio por Abastecimiento,Vigente,No,22/05/2023 21:24 hrs,nan,nan,Pesos mexicanos,nan,nan
CFE-0109-CSAAN-0042-2023,0100 - CFE Distribución,0109 - Distribución Valle de México Sur,Ciudad de México,ADQUISICIÓN DE CONECTADORES SEGUNDO EVENTO,ADQUISICIÓN DE CONECTADORES SEGUNDO EVENTO,Concurso simplificado,Adquisición por Abastecimientos,Vigente,No,22/05/2023 19:52 hrs,nan,nan,Pesos mexicanos,nan,nan
